Name,Type,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed
Herdier,Psychic,370,65,80,65,35,65,60
Stoutland,Psychic,500,85,110,90,45,90,80
Purrloin,Psychic,281,41,50,37,50,37,66
Liepard,Psychic,446,64,88,50,88,50,106
Pansage,Psychic,316,50,53,48,53,48,64
Simisage,Psychic,498,75,98,63,98,63,101
Pansear,Psychic,316,50,53,48,53,48,64
Simisear,Psychic,498,75,98,63,98,63,101
Panpour,Psychic,316,50,53,48,53,48,64
Simipour,Psychic,498,75,98,63,98,63,101
Munna,Psychic,292,76,25,45,67,55,24
Musharna,Psychic,487,116,55,85,107,95,29
Pidove,Psychic,264,50,55,50,36,30,43
Tranquill,Psychic,358,62,77,62,50,42,65
Unfezant,Psychic,488,80,115,80,65,55,93
Blitzle,Psychic,295,45,60,32,50,32,76
Zebstrika,Psychic,497,75,100,63,80,63,116
Roggenrola,Psychic,280,55,75,85,25,25,15
Boldore,Psychic,390,70,105,105,50,40,20
Gigalith,Psychic,515,85,135,130,60,80,25
Woobat,Psychic,313,55,45,43,55,43,72
Swoobat,Psychic,425,67,57,55,77,55,114
Drilbur,Psychic,328,60,85,40,30,45,68
Excadrill,Psychic,508,110,135,60,50,65,88
Audino,Psychic,445,103,60,86,60,86,50
AudinoMega Audino,Psychic,545,103,60,126,80,126,50
Timburr,Psychic,305,75,80,55,25,35,35
Gurdurr,Psychic,405,85,105,85,40,50,40
Conkeldurr,Psychic,505,105,140,95,55,65,45
Tympole,Psychic,294,50,50,40,50,40,64
Palpitoad,Psychic,384,75,65,55,65,55,69
Seismitoad,Psychic,509,105,95,75,85,75,74
Throh,Psychic,465,120,100,85,30,85,45
Sawk,Psychic,465,75,125,75,30,75,85
Sewaddle,Psychic,310,45,53,70,40,60,42
Swadloon,Psychic,380,55,63,90,50,80,42
Leavanny,Psychic,500,75,103,80,70,80,92
Venipede,Psychic,260,30,45,59,30,39,57
Whirlipede,Psychic,360,40,55,99,40,79,47
Scolipede,Psychic,485,60,100,89,55,69,112
Cottonee,Psychic,280,40,27,60,37,50,66
Whimsicott,Psychic,480,60,67,85,77,75,116
Petilil,Psychic,280,45,35,50,70,50,30
Lilligant,Psychic,480,70,60,75,110,75,90
Basculin,Psychic,460,70,92,65,80,55,98
Sandile,Psychic,292,50,72,35,35,35,65
Krokorok,Psychic,351,60,82,45,45,45,74
Krookodile,Psychic,519,95,117,80,65,70,92
Darumaka,Psychic,315,70,90,45,15,45,50
DarmanitanStandard Mode,Psychic,480,105,140,55,30,55,95
DarmanitanZen Mode,Psychic,540,105,30,105,140,105,55
Maractus,Rock,461,75,86,67,106,67,60
Dwebble,Rock,325,50,65,85,35,35,55
Crustle,Rock,475,70,95,125,65,75,45
Scraggy,Rock,348,50,75,70,35,70,48
Scrafty,Rock,488,65,90,115,45,115,58
Sigilyph,Rock,490,72,58,80,103,80,97
Yamask,Rock,303,38,30,85,55,65,30
Cofagrigus,Rock,483,58,50,145,95,105,30
Tirtouga,Rock,355,54,78,103,53,45,22
Carracosta,Rock,495,74,108,133,83,65,32
Archen,Rock,401,55,112,45,74,45,70
Archeops,Rock,567,75,140,65,112,65,110
Trubbish,Rock,329,50,50,62,40,62,65
Garbodor,Rock,474,80,95,82,60,82,75
Zorua,Rock,330,40,65,40,80,40,65
Zoroark,Rock,510,60,105,60,120,60,105
Minccino,Rock,300,55,50,40,40,40,75
Cinccino,Rock,470,75,95,60,65,60,115
Gothita,Rock,290,45,30,50,55,65,45
Gothorita,Rock,390,60,45,70,75,85,55
Gothitelle,Rock,490,70,55,95,95,110,65
Solosis,Rock,290,45,30,40,105,50,20
Duosion,Rock,370,65,40,50,125,60,30
Reuniclus,Rock,490,110,65,75,125,85,30
Ducklett,Rock,305,62,44,50,44,50,55
Swanna,Rock,473,75,87,63,87,63,98
Vanillite,Rock,305,36,50,50,65,60,44
Vanillish,Rock,395,51,65,65,80,75,59
Vanilluxe,Rock,535,71,95,85,110,95,79
Deerling,Rock,335,60,60,50,40,50,75
Sawsbuck,Rock,475,80,100,70,60,70,95
Emolga,Rock,428,55,75,60,75,60,103
Karrablast,Rock,315,50,75,45,40,45,60
Escavalier,Rock,495,70,135,105,60,105,20
Foongus,Rock,294,69,55,45,55,55,15
Amoonguss,Rock,464,114,85,70,85,80,30
Frillish,Rock,335,55,40,50,65,85,40
Jellicent,Rock,480,100,60,70,85,105,60
Alomomola,Rock,470,165,75,80,40,45,65
Joltik,Rock,319,50,47,50,57,50,65
Galvantula,Rock,472,70,77,60,97,60,108
Ferroseed,Rock,305,44,50,91,24,86,10
Ferrothorn,Rock,489,74,94,131,54,116,20
Klink,Rock,300,40,55,70,45,60,30
Klang,Steel,440,60,80,95,70,85,50
Klinklang,Steel,520,60,100,115,70,85,90
Tynamo,Steel,275,35,55,40,45,40,60
Eelektrik,Steel,405,65,85,70,75,70,40
Eelektross,Steel,515,85,115,80,105,80,50
Elgyem,Steel,335,55,55,55,85,55,30
Beheeyem,Steel,485,75,75,75,125,95,40
Litwick,Steel,275,50,30,55,65,55,20
Lampent,Steel,370,60,40,60,95,60,55
Chandelure,Steel,520,60,55,90,145,90,80
Axew,Steel,320,46,87,60,30,40,57
Fraxure,Steel,410,66,117,70,40,50,67
Haxorus,Steel,540,76,147,90,60,70,97
Cubchoo,Steel,305,55,70,40,60,40,40
Beartic,Steel,485,95,110,80,70,80,50
Cryogonal,Steel,485,70,50,30,95,135,105
Shelmet,Steel,305,50,40,85,40,65,25
Accelgor,Steel,495,80,70,40,100,60,145
Stunfisk,Steel,471,109,66,84,81,99,32
Mienfoo,Steel,350,45,85,50,55,50,65
Mienshao,Steel,510,65,125,60,95,60,105
Druddigon,Steel,485,77,120,90,60,90,48
Golett,Steel,303,59,74,50,35,50,35
Golurk,Steel,483,89,124,80,55,80,55
Pawniard,Steel,340,45,85,70,40,40,60
Bisharp,Steel,490,65,125,100,60,70,70
Bouffalant,Steel,490,95,110,95,40,95,55
Rufflet,Water,350,70,83,50,37,50,60
Braviary,Water,510,100,123,75,57,75,80
Vullaby,Water,370,70,55,75,45,65,60
Mandibuzz,Water,510,110,65,105,55,95,80
Heatmor,Water,484,85,97,66,105,66,65
Durant,Water,484,58,109,112,48,48,109
Deino,Water,300,52,65,50,45,50,38
Zweilous,Water,420,72,85,70,65,70,58
Hydreigon,Water,600,92,105,90,125,90,98
Larvesta,Water,360,55,85,55,50,55,60
Volcarona,Water,550,85,60,65,135,105,100
Cobalion,Water,580,91,90,129,90,72,108
Terrakion,Water,580,91,129,90,72,90,108
Virizion,Water,580,91,90,72,90,129,108
TornadusIncarnate Forme,Water,580,79,115,70,125,80,111
TornadusTherian Forme,Water,580,79,100,80,110,90,121
ThundurusIncarnate Forme,Water,580,79,115,70,125,80,111
ThundurusTherian Forme,Water,580,79,105,70,145,80,101
Reshiram,Water,680,100,120,100,150,120,90
Zekrom,Water,680,100,150,120,120,100,90
LandorusIncarnate Forme,Water,600,89,125,90,115,80,101
LandorusTherian Forme,Water,600,89,145,90,105,80,91
Kyurem,Water,660,125,130,90,130,90,95
KyuremBlack Kyurem,Water,700,125,170,100,120,90,95
KyuremWhite Kyurem,Water,700,125,120,90,170,100,95
KeldeoOrdinary Forme,Water,580,91,72,90,129,90,108
KeldeoResolute Forme,Water,580,91,72,90,129,90,108
MeloettaAria Forme,Water,600,100,77,77,128,128,90
MeloettaPirouette Forme,Water,600,100,128,90,77,77,128
Genesect,Water,600,71,120,95,120,95,99
Chespin,Water,313,56,61,65,48,45,38
Quilladin,Water,405,61,78,95,56,58,57
Chesnaught,Water,530,88,107,122,74,75,64
Fennekin,Water,307,40,45,40,62,60,60
Braixen,Water,409,59,59,58,90,70,73
Delphox,Water,534,75,69,72,114,100,104
Froakie,Water,314,41,56,40,62,44,71
Frogadier,Water,405,54,63,52,83,56,97
Greninja,Water,530,72,95,67,103,71,122
Bunnelby,Water,237,38,36,38,32,36,57
Diggersby,Water,423,85,56,77,50,77,78
Fletchling,Water,278,45,50,43,40,38,62
Fletchinder,Water,382,62,73,55,56,52,84
Talonflame,Water,499,78,81,71,74,69,126
Scatterbug,Water,200,38,35,40,27,25,35
Spewpa,Water,213,45,22,60,27,30,29
Vivillon,Water,411,80,52,50,90,50,89
Litleo,Water,369,62,50,58,73,54,72
Pyroar,Water,507,86,68,72,109,66,106
Flabébé,Water,303,44,38,39,61,79,42
Floette,Water,371,54,45,47,75,98,52
Florges,Water,552,78,65,68,112,154,75
Skiddo,Water,350,66,65,48,62,57,52
Gogoat,Water,531,123,100,62,97,81,68
Pancham,Water,348,67,82,62,46,48,43
Pangoro,Water,495,95,124,78,69,71,58
Furfrou,Water,472,75,80,60,65,90,102
Espurr,Water,355,62,48,54,63,60,68
MeowsticMale,Water,466,74,48,76,83,81,104
MeowsticFemale,Water,466,74,48,76,83,81,104
Honedge,Water,325,45,80,100,35,37,28
Doublade,Water,448,59,110,150,45,49,35
AegislashBlade Forme,Water,520,60,150,50,150,50,60
AegislashShield Forme,Water,520,60,50,150,50,150,60
Spritzee,Water,341,78,52,60,63,65,23
Aromatisse,Water,462,101,72,72,99,89,29
Swirlix,Water,341,62,48,66,59,57,49
Slurpuff,Water,480,82,80,86,85,75,72
Inkay,Water,288,53,54,53,37,46,45
Malamar,Water,482,86,92,88,68,75,73
Binacle,Water,306,42,52,67,39,56,50
Barbaracle,Water,500,72,105,115,54,86,68
Skrelp,Water,320,50,60,60,60,60,30
Dragalge,Water,494,65,75,90,97,123,44
Clauncher,Water,330,50,53,62,58,63,44
Clawitzer,Water,500,71,73,88,120,89,59
Helioptile,Water,289,44,38,33,61,43,70
Heliolisk,Water,481,62,55,52,109,94,109
Tyrunt,Water,362,58,89,77,45,45,48
Tyrantrum,Water,521,82,121,119,69,59,71
Amaura,Water,362,77,59,50,67,63,46
Aurorus,Water,521,123,77,72,99,92,58
Sylveon,Water,525,95,65,65,110,130,60
Hawlucha,Water,500,78,92,75,74,63,118
Dedenne,Water,431,67,58,57,81,67,101
Carbink,Water,500,50,50,150,50,150,50
Goomy,Water,300,45,50,35,55,75,40
Sliggoo,Water,452,68,75,53,83,113,60
Goodra,Water,600,90,100,70,110,150,80
Klefki,Water,470,57,80,91,80,87,75
Phantump,Water,309,43,70,48,50,60,38
Trevenant,Water,474,85,110,76,65,82,56
PumpkabooAverage Size,Water,335,49,66,70,44,55,51
PumpkabooSmall Size,Water,335,44,66,70,44,55,56
PumpkabooLarge Size,Water,335,54,66,70,44,55,46
PumpkabooSuper Size,Water,335,59,66,70,44,55,41
GourgeistAverage Size,Water,494,65,90,122,58,75,84
GourgeistSmall Size,Water,494,55,85,122,58,75,99
GourgeistLarge Size,Water,494,75,95,122,58,75,69
GourgeistSuper Size,Water,494,85,100,122,58,75,54
Bergmite,Water,304,55,69,85,32,35,28
Avalugg,Water,514,95,117,184,44,46,28
Noibat,Water,245,40,30,35,45,40,55
Noivern,Water,535,85,70,80,97,80,123
Xerneas,Water,680,126,131,95,131,98,99
Yveltal,Water,680,126,131,95,131,98,99
Zygarde50% Forme,Water,600,108,100,121,81,95,95
Diancie,Water,600,50,100,150,100,150,50
DiancieMega Diancie,Water,700,50,160,110,160,110,110
HoopaHoopa Confined,Water,600,80,110,60,150,130,70
HoopaHoopa Unbound,Water,680,80,160,60,170,130,80
Volcanion,Water,600,80,110,120,130,90,70
